Fitted ARIMA Orders per Species:
-----------------------------------
Species: CO2 FFI         | Order: (p=0, d=2, q=1)
Species: CO2 AFOLU       | Order: (p=1, d=1, q=0)
Species: CO2             | Order: (p=0, d=2, q=2)
Species: CH4             | Order: (p=3, d=2, q=1)
Species: N2O             | Order: (p=0, d=2, q=1)
Species: BC              | Order: (p=2, d=1, q=2)
Species: OC              | Order: (p=0, d=1, q=1)
Species: NH3             | Order: (p=4, d=2, q=3)
Species: NOx             | Order: (p=2, d=2, q=1)
Species: VOC             | Order: (p=2, d=1, q=1)
Species: CO              | Order: (p=2, d=1, q=1)
Species: CFC-11          | Order: (p=2, d=1, q=0)
Species: CFC-12          | Order: (p=1, d=1, q=2)
Species: CFC-113         | Order: (p=2, d=1, q=3)
Species: CFC-114         | Order: (p=5, d=1, q=0)
Species: CFC-115         | Order: (p=1, d=1, q=1)
Species: HCFC-22         | Order: (p=4, d=2, q=2)
Species: HCFC-141b       | Order: (p=5, d=1, q=2)
Species: HCFC-142b       | Order: (p=0, d=1, q=1)
Species: CCl4            | Order: (p=3, d=1, q=5)
Species: CHCl3           | Order: (p=5, d=1, q=0)
Species: CH2Cl2          | Order: (p=2, d=2, q=1)
Species: CH3Cl           | Order: (p=0, d=1, q=1)
Species: CH3CCl3         | Order: (p=1, d=1, q=1)
Species: CH3Br           | Order: (p=1, d=1, q=5)
Species: Halon-1211      | Order: (p=4, d=1, q=1)
Species: Halon-1301      | Order: (p=1, d=1, q=0)
Species: Halon-2402      | Order: (p=0, d=1, q=2)
Species: CF4             | Order: (p=2, d=1, q=5)
Species: C2F6            | Order: (p=1, d=1, q=1)
Species: C3F8            | Order: (p=4, d=1, q=4)
Species: C4F10           | Order: (p=0, d=1, q=3)
Species: C5F12           | Order: (p=3, d=1, q=0)
Species: C6F14           | Order: (p=5, d=1, q=0)
Species: C7F16           | Order: (p=1, d=1, q=0)
Species: C8F18           | Order: (p=1, d=1, q=1)
Species: NF3             | Order: (p=0, d=1, q=0)
Species: SF6             | Order: (p=1, d=2, q=1)
Species: SO2F2           | Order: (p=0, d=2, q=0)
Species: HFC-125         | Order: (p=2, d=2, q=0)
Species: HFC-134a        | Order: (p=2, d=2, q=1)
Species: HFC-143a        | Order: (p=0, d=2, q=1)
Species: HFC-152a        | Order: (p=4, d=1, q=2)
Species: HFC-227ea       | Order: (p=0, d=2, q=1)
Species: HFC-23          | Order: (p=3, d=1, q=0)
Species: HFC-236fa       | Order: (p=3, d=2, q=4)
Species: HFC-245fa       | Order: (p=3, d=2, q=5)
Species: HFC-32          | Order: (p=5, d=1, q=1)
Species: HFC-365mfc      | Order: (p=2, d=2, q=2)
Species: HFC-4310mee     | Order: (p=1, d=1, q=2)
