,scenario,specie,max_forcing
0,ssp119,CO2 FFI,0.0
1,ssp119,CO2 AFOLU,0.0
2,ssp119,CO2,2.78239041588958
3,ssp119,CH4,0.8493545654942053
4,ssp119,N2O,0.3782823857172742
5,ssp119,Sulfur,0.0
6,ssp119,BC,0.0
7,ssp119,OC,0.0
8,ssp119,NH3,0.0
9,ssp119,NOx,0.0
10,ssp119,VOC,0.0
11,ssp119,CO,0.0
12,ssp119,CFC-11,0.10874641590356278
13,ssp119,CFC-12,0.2667876578096605
14,ssp119,CFC-113,0.034610525372512996
15,ssp119,CFC-114,0.0071433466771702045
16,ssp119,CFC-115,0.003092184408349858
17,ssp119,HCFC-22,0.07468032395230677
18,ssp119,HCFC-141b,0.006196395387024639
19,ssp119,HCFC-142b,0.005976800540897741
20,ssp119,CCl4,0.027362415413199233
21,ssp119,CHCl3,0.0011155847715662035
22,ssp119,CH2Cl2,0.0017627178995839776
23,ssp119,CH3Cl,0.0007765021805476568
24,ssp119,CH3CCl3,0.0117961696874994
25,ssp119,CH3Br,2.2428623797858934e-05
26,ssp119,Halon-1211,0.001787227331595694
27,ssp119,Halon-1301,0.001363176235044961
28,ssp119,Halon-2402,0.0002093076918959394
29,ssp119,CF4,0.009665333023299973
30,ssp119,C2F6,0.002067712417542461
31,ssp119,C3F8,0.00032233665755709216
32,ssp119,c-C4F8,0.0010636047048094446
33,ssp119,C4F10,0.00011354645455054055
34,ssp119,C5F12,7.948031934388247e-05
35,ssp119,C6F14,0.0002441196625806116
36,ssp119,C7F16,0.00013510795090696822
37,ssp119,C8F18,8.921054449163202e-05
38,ssp119,NF3,0.0011802578296403847
39,ssp119,SF6,0.014874157522221586
40,ssp119,SO2F2,0.0008702546830990016
41,ssp119,HFC-125,0.02336549826582013
42,ssp119,HFC-134a,0.030198177927609926
43,ssp119,HFC-143a,0.011399200668844176
44,ssp119,HFC-152a,0.0011769457215815198
45,ssp119,HFC-227ea,0.0008535762843948219
46,ssp119,HFC-23,0.007499264803889329
47,ssp119,HFC-236fa,0.00014892657420983912
48,ssp119,HFC-245fa,0.0015892396646448865
49,ssp119,HFC-32,0.00219110556577632
50,ssp119,HFC-365mfc,0.00046418392020375045
51,ssp119,HFC-4310mee,0.0001676489474887989
52,ssp119,Solar,0.24319049655819902
53,ssp119,Volcanic,0.28137727172489746
54,ssp119,Aerosol-radiation interactions,0.3690762266221597
55,ssp119,Aerosol-cloud interactions,1.8622606124621353
56,ssp119,Ozone,0.9971411895913632
57,ssp119,Light absorbing particles on snow and ice,0.3502329278723625
58,ssp119,Stratospheric water vapour,0.1903041982062654
59,ssp119,Land use,0.011523508259513801
60,ssp119,Equivalent effective stratospheric chlorine,0.0
61,ssp126,CO2 FFI,0.0
62,ssp126,CO2 AFOLU,0.0
63,ssp126,CO2,3.1966666613485457
64,ssp126,CH4,0.8457279013652288
65,ssp126,N2O,0.3775018463005189
66,ssp126,Sulfur,0.0
67,ssp126,BC,0.0
68,ssp126,OC,0.0
69,ssp126,NH3,0.0
70,ssp126,NOx,0.0
71,ssp126,VOC,0.0
72,ssp126,CO,0.0
73,ssp126,CFC-11,0.10874641590356278
74,ssp126,CFC-12,0.2667876578096605
75,ssp126,CFC-113,0.034610525372512996
76,ssp126,CFC-114,0.0071433466771702045
77,ssp126,CFC-115,0.003092184408349858
78,ssp126,HCFC-22,0.07468032395230677
79,ssp126,HCFC-141b,0.006196395387024639
80,ssp126,HCFC-142b,0.005976800540897741
81,ssp126,CCl4,0.027362415413199233
82,ssp126,CHCl3,0.0011155847715662035
83,ssp126,CH2Cl2,0.0017354537487727054
84,ssp126,CH3Cl,0.0007851989047814003
85,ssp126,CH3CCl3,0.0117961696874994
86,ssp126,CH3Br,2.2428623797858934e-05
87,ssp126,Halon-1211,0.001787227331595694
88,ssp126,Halon-1301,0.001363176235044961
89,ssp126,Halon-2402,0.0002093076918959394
90,ssp126,CF4,0.0100012518632231
91,ssp126,C2F6,0.0021316487101025344
92,ssp126,C3F8,0.00033604877373409316
93,ssp126,c-C4F8,0.0011156349705758388
94,ssp126,C4F10,0.00011685332171238513
95,ssp126,C5F12,8.081608247149126e-05
96,ssp126,C6F14,0.0002540412184630506
97,ssp126,C7F16,0.000141570341119623
98,ssp126,C8F18,9.197888786080707e-05
99,ssp126,NF3,0.0011967820616255553
100,ssp126,SF6,0.01503286221027917
101,ssp126,SO2F2,0.000932845291226905
102,ssp126,HFC-125,0.03748079467271949
103,ssp126,HFC-134a,0.032321975799748486
104,ssp126,HFC-143a,0.017632574276138874
105,ssp126,HFC-152a,0.0011769457215815198
106,ssp126,HFC-227ea,0.001082244185995156
107,ssp126,HFC-23,0.007498903733570303
108,ssp126,HFC-236fa,0.00017860473201125146
109,ssp126,HFC-245fa,0.002079875654878758
110,ssp126,HFC-32,0.0021901156669680826
111,ssp126,HFC-365mfc,0.0004893190293139536
112,ssp126,HFC-4310mee,0.00017070104184814565
113,ssp126,Solar,0.24319049655819902
114,ssp126,Volcanic,0.28137727172489746
115,ssp126,Aerosol-radiation interactions,0.3690762266221597
116,ssp126,Aerosol-cloud interactions,1.848805104043116
117,ssp126,Ozone,0.9971411895913632
118,ssp126,Light absorbing particles on snow and ice,0.3502329278723625
119,ssp126,Stratospheric water vapour,0.18909367466115962
120,ssp126,Land use,0.011306059852377252
121,ssp126,Equivalent effective stratospheric chlorine,0.0
122,ssp245,CO2 FFI,0.0
123,ssp245,CO2 AFOLU,0.0
124,ssp245,CO2,4.782715805920303
125,ssp245,CH4,0.938432329746986
126,ssp245,N2O,0.41636114024488197
127,ssp245,Sulfur,0.0
128,ssp245,BC,0.0
129,ssp245,OC,0.0
