,scenario,specie,max_forcing
0,high-extension,CO2 FFI,0.0
1,high-extension,CO2 AFOLU,0.0
2,high-extension,CO2,13.129539669495722
3,high-extension,CH4,1.3946550112377907
4,high-extension,N2O,0.8045373345094189
5,high-extension,Sulfur,0.0
6,high-extension,BC,0.0
7,high-extension,OC,0.0
8,high-extension,NH3,0.0
9,high-extension,NOx,0.0
10,high-extension,VOC,0.0
11,high-extension,CO,0.0
12,high-extension,CFC-11,0.11346946214032087
13,high-extension,CFC-12,0.28191276729029147
14,high-extension,CFC-113,0.03658975647398766
15,high-extension,CFC-114,0.007518818920345139
16,high-extension,CFC-115,0.003629982969701638
17,high-extension,HCFC-22,0.07772584985568823
18,high-extension,HCFC-141b,0.0056988005322947104
19,high-extension,HCFC-142b,0.006260730784325432
20,high-extension,CCl4,0.025763320455932097
21,high-extension,CHCl3,0.0005934517887763112
22,high-extension,CH2Cl2,0.001984659389922253
23,high-extension,CH3Cl,0.0006741144792554175
24,high-extension,CH3CCl3,0.013248839882345993
25,high-extension,CH3Br,2.3304762072437594e-05
26,high-extension,Halon-1211,0.0019051419849324086
27,high-extension,Halon-1301,0.0015376360429081453
28,high-extension,Halon-2402,0.00021858647558539097
29,high-extension,CF4,0.01514219301836687
30,high-extension,C2F6,0.0025535071061283873
31,high-extension,C3F8,0.00034524783415455535
32,high-extension,c-C4F8,0.0019745924348227336
33,high-extension,C4F10,0.00012489598043415937
34,high-extension,C5F12,9.467690747450689e-05
35,high-extension,C6F14,0.00024197140166797132
36,high-extension,C7F16,7.462670247615595e-05
37,high-extension,C8F18,5.5015519513143057e-05
38,high-extension,NF3,0.00478573801599604
39,high-extension,SF6,0.05961919766075985
40,high-extension,SO2F2,0.0011860384714440112
41,high-extension,HFC-125,0.11832237176644271
42,high-extension,HFC-134a,0.046388157717769794
43,high-extension,HFC-143a,0.07637439527649577
44,high-extension,HFC-152a,0.0012671785756174928
45,high-extension,HFC-227ea,0.00193132128025042
46,high-extension,HFC-23,0.008971511917867523
47,high-extension,HFC-236fa,0.0014413640419495008
48,high-extension,HFC-245fa,0.006613992056310289
49,high-extension,HFC-32,0.003735980688984043
50,high-extension,HFC-365mfc,0.0006857837051783948
51,high-extension,HFC-4310mee,0.0001598713563716338
52,high-extension,Solar,0.29898468347298435
53,high-extension,Volcanic,0.35987349642241195
54,high-extension,Aerosol-radiation interactions,0.3104788564425156
55,high-extension,Aerosol-cloud interactions,1.0639058160707826
56,high-extension,Ozone,1.3712016212633622
57,high-extension,Light absorbing particles on snow and ice,0.28437393318286985
58,high-extension,Stratospheric water vapour,0.36545840407862945
59,high-extension,Land use,0.01970130746337194
60,high-extension,Equivalent effective stratospheric chlorine,0.0
61,high-overshoot,CO2 FFI,0.0
62,high-overshoot,CO2 AFOLU,0.0
63,high-overshoot,CO2,10.753146476876166
64,high-overshoot,CH4,1.3946680462696794
65,high-overshoot,N2O,0.817535476944802
66,high-overshoot,Sulfur,0.0
67,high-overshoot,BC,0.0
68,high-overshoot,OC,0.0
69,high-overshoot,NH3,0.0
70,high-overshoot,NOx,0.0
71,high-overshoot,VOC,0.0
72,high-overshoot,CO,0.0
73,high-overshoot,CFC-11,0.11346946214032087
74,high-overshoot,CFC-12,0.28191276729029147
75,high-overshoot,CFC-113,0.03658975647398766
76,high-overshoot,CFC-114,0.007518818920345139
77,high-overshoot,CFC-115,0.003629982969701638
78,high-overshoot,HCFC-22,0.07772584985568823
79,high-overshoot,HCFC-141b,0.0056988005322947104
80,high-overshoot,HCFC-142b,0.006260730784325432
81,high-overshoot,CCl4,0.025763320455932097
82,high-overshoot,CHCl3,0.0005934517887763112
83,high-overshoot,CH2Cl2,0.001984659389922253
84,high-overshoot,CH3Cl,0.0006741144792554175
85,high-overshoot,CH3CCl3,0.013248839882345993
86,high-overshoot,CH3Br,2.3304762072437594e-05
87,high-overshoot,Halon-1211,0.0019051419849324086
88,high-overshoot,Halon-1301,0.0015376360429081453
89,high-overshoot,Halon-2402,0.00021858647558539097
90,high-overshoot,CF4,0.01514219301836687
91,high-overshoot,C2F6,0.0025535071061283873
92,high-overshoot,C3F8,0.00034524783415455535
93,high-overshoot,c-C4F8,0.0019745924348227336
94,high-overshoot,C4F10,0.00012489598043415937
95,high-overshoot,C5F12,9.467690747450689e-05
96,high-overshoot,C6F14,0.00024197140166797132
97,high-overshoot,C7F16,7.462670247615595e-05
98,high-overshoot,C8F18,5.5015519513143057e-05
99,high-overshoot,NF3,0.00478573801599604
100,high-overshoot,SF6,0.05961919766075985
101,high-overshoot,SO2F2,0.0011860384714440112
102,high-overshoot,HFC-125,0.11832237176644271
103,high-overshoot,HFC-134a,0.046388157717769794
104,high-overshoot,HFC-143a,0.07637439527649577
105,high-overshoot,HFC-152a,0.0012671785756174928
106,high-overshoot,HFC-227ea,0.00193132128025042
107,high-overshoot,HFC-23,0.008971511917867523
108,high-overshoot,HFC-236fa,0.0014413640419495008
109,high-overshoot,HFC-245fa,0.006613992056310289
110,high-overshoot,HFC-32,0.003735980688984043
111,high-overshoot,HFC-365mfc,0.0006857837051783948
112,high-overshoot,HFC-4310mee,0.0001598713563716338
113,high-overshoot,Solar,0.29898468347298435
114,high-overshoot,Volcanic,0.35987349642241195
115,high-overshoot,Aerosol-radiation interactions,0.3104788564425156
116,high-overshoot,Aerosol-cloud interactions,1.0639058160707826
117,high-overshoot,Ozone,1.3712023106233946
118,high-overshoot,Light absorbing particles on snow and ice,0.28437393318286985
119,high-overshoot,Stratospheric water vapour,0.3654651878660672
120,high-overshoot,Land use,0.01913691640545491
121,high-overshoot,Equivalent effective stratospheric chlorine,0.0
122,medium-overshoot,CO2 FFI,0.0
123,medium-overshoot,CO2 AFOLU,0.0
124,medium-overshoot,CO2,6.672832461837883
125,medium-overshoot,CH4,0.9333706073603952
126,medium-overshoot,N2O,0.4322057908552187
127,medium-overshoot,Sulfur,0.0
128,medium-overshoot,BC,0.0
