,scenario,specie,mean_max_forcing,max_forcing_std,min_year,max_year,year_range,cv_at_maxforcing_year,cv_300,cv_350,cv_400
0,high-extension,Aerosol-cloud interactions,0.15036778823443772,0.2041890333459895,1753,2251,498,0.28267622774441736,0.5395961332601856,1.3978593773950894,0.8842027489155488
1,high-extension,Aerosol-radiation interactions,0.008040862654658582,0.027063854945486066,1750,2020,270,0.0645622044478375,0.33172572332284256,0.6574922571436674,0.6721140131277816
2,high-extension,BC,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
3,high-extension,C2F6,0.0017745744888756456,0.00019922149379956376,2237,2237,0,0.22247874322136094,0.061012062366508,0.1383118207821652,0.178427576174508
4,high-extension,C3F8,0.00023993197330827277,2.693581274406608e-05,2218,2218,0,0.3248891497464548,0.11682482582709387,0.2690815006812879,0.33755850773541446
5,high-extension,C4F10,8.679718184828307e-05,9.74423126997802e-06,2066,2066,0,0.21338838346170527,0.07573732468446479,0.17893364984525284,0.22756932099322533
6,high-extension,C5F12,6.57962628287188e-05,7.386576246495688e-06,2067,2067,0,0.11785841547654,0.039848109448653087,0.09545138800705495,0.12249097962514396
7,high-extension,C6F14,0.00016815942098096325,1.8878312099213763e-05,2224,2224,0,0.31595946683673876,0.09005080830315425,0.2017918964766011,0.2611387340009633
8,high-extension,C7F16,5.1862257240335755e-05,5.822283834240872e-06,2039,2039,0,0.44953104319760656,0.2544110960377605,0.7882087664510135,1.066714917198279
9,high-extension,C8F18,3.823335254713922e-05,4.292243382937639e-06,2039,2039,0,0.2780616677227604,0.14558844956085096,0.4063698505429585,0.5402007576886776
10,high-extension,CCl4,0.017904368121827496,0.0020100226759304667,1991,1991,0,0.0,8.361275844713372e-17,7.027681288938032e-17,6.830162751375058e-17
11,high-extension,CF4,0.01052315435950277,0.0011813753348341094,2249,2249,0,0.22149659220067608,0.049562323778115806,0.11808195457841016,0.16670533041475744
12,high-extension,CFC-11,0.07885625706597478,0.008852748321700219,1994,1994,0,0.0,9.25497141466881e-17,9.514909232300908e-17,9.003127785598934e-17
13,high-extension,CFC-113,0.02542826226607193,0.002854687940760159,1996,1996,0,0.0,7.489958762641313e-17,8.047095686109686e-17,9.081095029996396e-17
14,high-extension,CFC-114,0.005225246567944705,0.0005866090340318961,2005,2005,0,0.0,7.496915853342023e-17,7.028025697949665e-17,8.951681280479672e-17
15,high-extension,CFC-115,0.002522677598047526,0.0002832068209073311,2087,2087,0,0.0,7.626965056397058e-17,7.366810068136733e-17,7.602297646723512e-17
16,high-extension,CFC-12,0.19591690335265904,0.021994488476632556,2003,2003,0,0.0,7.111493423671845e-17,8.665173873332048e-17,7.423731841999466e-17
17,high-extension,CH2Cl2,0.0013792504880879132,0.00015484069239310843,2101,2101,0,0.19710640140174077,0.7358690483752609,0.7795026473492691,0.9129781845889717
18,high-extension,CH3Br,1.6195778795293137e-05,1.8182089650628927e-06,1998,1998,0,0.0,1.942122969646081,4.48420183067106,0.07084737467088392
19,high-extension,CH3CCl3,0.009207357679163357,0.001033658244434702,1992,1992,0,0.0,8.949141715837093e-17,8.930998022143588e-17,9.346945416870246e-17
